instance_name,time_seconds,objective_value,jain_fairness,num_vehicles,algorithm,instance_size
instance13_nreq200_nveh4_gamma180,0.013626,27375.41704,0.997831,4,deterministic,200
instance3_nreq200_nveh4_gamma180,0.011583,27346.894952,0.994224,4,deterministic,200
instance5_nreq200_nveh4_gamma188,0.012076,27705.761769,0.996539,4,deterministic,200
instance29_nreq200_nveh4_gamma177,0.012857,26284.512398,0.998651,4,deterministic,200
instance30_nreq200_nveh4_gamma177,0.01137,25992.176384,0.998806,4,deterministic,200
instance28_nreq200_nveh4_gamma176,0.012083,25256.143005,0.996555,4,deterministic,200
instance10_nreq200_nveh4_gamma182,0.011765,27060.18333,0.999571,4,deterministic,200
instance7_nreq200_nveh4_gamma175,0.012101,26409.708905,0.997656,4,deterministic,200
instance18_nreq200_nveh4_gamma187,0.000404,28834.05718,0.998408,4,random,200
instance1_nreq200_nveh4_gamma177,0.000349,26139.071761,0.982715,4,random,200
instance24_nreq200_nveh4_gamma180,0.000387,27842.389132,0.998945,4,random,200
instance16_nreq200_nveh4_gamma188,0.00038,27414.421117,0.995636,4,random,200
instance20_nreq200_nveh4_gamma183,0.000504,27392.345709,0.970014,4,random,200
instance22_nreq200_nveh4_gamma180,0.0004,26826.900785,0.975737,4,random,200
instance11_nreq200_nveh4_gamma182,0.000426,27571.35615,0.99525,4,random,200
instance25_nreq200_nveh4_gamma172,0.000345,25912.000707,0.990157,4,random,200
instance26_nreq200_nveh4_gamma175,0.000408,25128.65115,0.982542,4,random,200
instance23_nreq200_nveh4_gamma172,0.000408,25500.980294,0.973461,4,random,200
instance12_nreq200_nveh4_gamma188,0.000398,26882.648017,0.96414,4,random,200
instance19_nreq200_nveh4_gamma195,0.000476,29066.145858,0.994677,4,random,200
instance8_nreq200_nveh4_gamma182,0.000433,27726.823576,0.988847,4,random,200
instance2_nreq200_nveh4_gamma172,0.000356,26122.001742,0.997492,4,random,200
instance17_nreq200_nveh4_gamma185,0.000417,27145.398026,0.989835,4,random,200
instance9_nreq200_nveh4_gamma182,0.00038,27171.182441,0.987057,4,random,200
instance6_nreq200_nveh4_gamma178,0.000377,26872.240385,0.99923,4,random,200
instance15_nreq200_nveh4_gamma182,0.00037,27572.828044,0.984875,4,random,200
instance21_nreq200_nveh4_gamma180,0.000361,27750.759157,0.982591,4,random,200
